,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),Cloud
11,12,122220,1875,CO,3,0.1207911877396987,0.0,1.981341040261652,0.0,1.1540463365715046,0.0,Polaris
0,1,123500,1963,HI,1,18.08910958969984,0.5980236396709095,-12.401713261272793,0.3415248088647341,5.083383317898254,0.3399778358054745,Polaris
1,2,123500,1963,HI,2,25.69726650835279,1.364069416507492,-3.5924019864323755,0.114687418683563,1.9810376548418231,0.1352005537070514,Polaris
2,3,123500,1963,HI,3,19.038646490506984,0.7665186760890782,4.564558802940539,0.1752692358501872,3.071973418313314,0.1922837682632619,Polaris
3,4,123500,1963,67,1,0.0044472105936158,0.0010317115893798,1.0,1.9834592621843077,4.999999999999998,1.3959254672481165,Polaris
4,5,123500,1963,67,2,0.032438436955041,0.0022064687481353,-4.054945487692706,0.0839572668795555,1.3271518899191517,0.1102785037869349,Polaris
5,6,123500,1963,67,3,0.0021802248303857,0.0,-12.401713261272793,0.0,5.083383317898254,0.0,Polaris
6,7,123500,1963,65,1,0.0171773348926727,122302.57792093056,0.3036737873757285,44284.07954657348,0.2201289010794641,353851.387838394,Polaris
7,8,123500,1963,65,2,0.0019623304908601,0.0,-12.401713261272793,0.0,5.083383317898254,0.0,Polaris
8,9,123500,1963,65,3,0.0019623304908601,0.0,-3.5924019864323755,0.0,1.9810376548418231,0.0,Polaris
9,10,123500,1963,CO,1,0.405408964902075,0.2190616350806944,-5.356203735663807,0.2232740324524883,0.466561832943616,0.2986168799490766,Polaris
10,11,123500,1963,CO,2,0.5277461015078373,0.1861182212560624,-4.651606764738442,0.4161655497714655,1.4336184775707692,0.2983197788585686,Polaris
11,12,123500,1963,CO,3,0.1067147735548023,0.0,0.3036737873757285,0.0,0.2201289010794641,0.0,Polaris
0,1,125070,1950,HI,1,8.403220950432402,0.7190058429354066,4.079470507937043,0.1954556152914138,3.46466491394296,0.3081622286450341,Polaris
1,2,125070,1950,HI,2,16.459169494588814,0.2696669612516864,-8.09696274247213,0.3994956489872779,10.082046942006484,0.2846637465885575,Polaris
2,3,125070,1950,67,1,0.1064043005801978,0.0028720994545753,0.660789727192311,0.0226599387067347,0.6203958460731798,0.0185878504252076,Polaris
3,4,125070,1950,67,2,0.0028578526782819,0.0,4.079470507937043,0.0,3.46466491394296,0.0,Polaris
4,5,125070,1950,65,1,0.0595585979269045,0.0024858448461568,0.6861414739453127,0.0383415948587954,0.5555998798279339,0.0256947179125531,Polaris
5,6,125070,1950,65,2,0.001946975657,0.0,4.079470507937043,0.0,3.46466491394296,0.0,Polaris
6,7,125070,1950,CO,1,1.962674895563032,0.1475450856341788,0.6805571965432258,0.0515344236095911,0.6017428978382372,0.0529060910162693,Polaris
7,8,125070,1950,CO,2,0.1322412250301423,0.0,0.6861414739453127,0.0,0.5555998798279339,0.0,Polaris
0,1,125220,3250,HI,1,36.66261867774129,0.776355156608856,1.152744754032773,0.067798233587914,2.7757500539297952,0.0677939179083902,Polaris
1,2,125220,3250,67,1,0.1203926049826574,0.0021958375303732,0.0690411470938962,0.0220922808172831,1.048728469467256,0.0220800417858548,Polaris
2,3,125220,3250,65,1,0.0683323999887727,0.0021204417459008,0.23412885305088,0.0344031230678056,0.9616478682760584,0.0345183806361957,Polaris
3,4,125220,3250,CO,1,0.8638655760716121,0.1036959404064589,0.3896825774652906,0.1376982369559478,0.9933386729434164,0.1376982249340191,Polaris
0,1,125500,2200,HI,1,14.435097342543786,0.3776970379384798,-2.6723249050617737,0.0923634107286498,3.3920448386726387,0.1114430348548871,Polaris
1,2,125500,2200,HI,2,6.079057890338095,0.2426001997288692,-9.139501291151428,0.5543624987953277,16.8416030640363,0.536626664494079,Polaris
2,3,125500,2200,67,1,0.0044477352167378,0.0045214122259184,2.728865519315736,0.0002439216445376,0.0866675125926116,0.0002564152975517,Polaris
3,4,125500,2200,67,2,0.0638515791729377,0.0022424692594937,-4.560827687083941,0.0433074624733588,1.0678729265408389,0.0433032060340232,Polaris
4,5,125500,2200,65,1,0.009466876654745,0.0025342994304184,-3.343953727010017,0.5988848520974815,2.205916559062896,0.4269355061670864,Polaris
5,6,125500,2200,65,2,0.029502003292895,0.0036108076260752,-4.582641836972656,0.082594567673491,-4.582641836972656,0.0994860862799832,Polaris
6,7,125500,2200,CO,1,2.4370014902244748,0.0951206964240109,-4.804517678119502,0.0388526730940342,0.9110505657650746,0.0430818320570965,Polaris
7,8,125500,2200,CO,2,0.0739534721628649,0.0,-3.343953727010017,0.0,2.205916559062896,0.0,Polaris
0,1,127500,2088,HI,1,24.28544119523863,0.6016010479878524,-2.632000502814798,0.0665707021293372,2.6691353163882785,0.0721928094654974,Polaris
1,2,127500,2088,HI,2,16.973269177048884,0.2473008938306328,6.196842869840273,0.135649088630669,4.07803569567239,0.123678511218004,Polaris
2,3,127500,2088,HI,3,11.19702213733679,0.1733587315565951,-13.794739363715696,0.298293549685893,7.50859699242432,0.2690803409364287,Polaris
3,4,127500,2088,67,1,0.0066353968788245,0.0014537111357752,3.496464575279444,1.6690650351662422,6.6938656701734,1.1670511816779217,Polaris
4,5,127500,2088,67,2,0.0490943051086889,0.0022898048372148,-1.098453107791829,0.0820165045897295,1.7378580011019498,0.1007972278622022,Polaris
5,6,127500,2088,67,3,0.0026543434639181,0.0,-2.632000502814798,0.0,2.6691353163882785,0.0,Polaris
6,7,127500,2088,65,1,0.0051578233016319,0.0013878219557006,9.148212717566182,0.9114451833269503,2.900223419284456,0.955188316192859,Polaris
7,8,127500,2088,65,2,0.025790642481797,0.0015881193809885,-1.3904567961753265,0.1592276229685806,-1.3904567961753265,0.1639840549776129,Polaris
8,9,127500,2088,65,3,0.0022191217279542,0.0,-2.632000502814798,0.0,2.6691353163882785,0.0,Polaris
9,10,127500,2088,CO,1,2.598015107623254,0.1030589348175364,-0.610891217464342,0.05900260915097,1.2881293720101792,0.0590026092414143,Polaris
10,11,127500,2088,CO,2,0.1295815633739533,0.0,9.148212717566182,0.0,2.900223419284456,0.0,Polaris
11,12,127500,2088,CO,3,0.1295815633739533,0.0,9.148212717566182,0.0,2.900223419284456,0.0,Polaris
0,1,137160,4300,HI,1,2.5920754590231225,0.1587096229925571,2.875547347058847e-16,0.808045112249362,10.876046431740091,0.6581775117793783,Ursa Major
1,2,137160,4300,HI,2,11.218610157922228,0.3570247066324016,7.849033496497569,0.0614046431705232,1.7560832882416466,0.0696531213634498,Ursa Major
