,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),Cloud
5,6,151500,1925,65,2,0.0030534172497548,0.0,-0.746892344901698,0.0,1.8464316321114336,0.0,Camelopardalis
6,7,151500,1925,CO,1,1.513998268402634,0.1242047370031626,-1.399332135476247,0.0664680729280488,0.7021230897820645,0.0665622969071816,Camelopardalis
7,8,151500,1925,CO,2,0.1366452168649743,0.0,-1.4499243495876797,0.0,0.8125718881558601,0.0,Camelopardalis
0,1,156540,3513,HI,1,1.115452463165306,0.1069699624621314,-20.0,3.724495234442592,35.33365495716078,3.557668378496831,Ursa Major
1,2,156540,3513,HI,2,14.69630869700373,0.3158152127697137,-0.7365310314182174,0.0790775794258311,3.267920591564529,0.0849065705138019,Ursa Major
2,3,156540,3513,67,1,0.0174488953159424,0.0024648890669729,0.426705824003021,0.1038794410008279,0.6667423315313848,0.1155609909137732,Ursa Major
3,4,156540,3513,67,2,0.0320186085619901,0.0020179915714654,-3.067127317226457,0.0649905679536191,0.883918018396189,0.0652639110164534,Ursa Major
4,5,156540,3513,65,1,0.022311807731897,0.0022151577655153,-3.0473327182112357,0.1107315824355041,0.7815921126062,0.0998910090469296,Ursa Major
5,6,156540,3513,65,2,0.0064539286501558,0.0016724620052554,0.4363227470614185,0.5131662032310689,0.4363227470614185,0.5676121046172782,Ursa Major
6,7,156540,3513,CO,1,1.7259872932908802,0.1145845678088327,-3.36371574384302,0.0526556989529167,0.6874171401719638,0.0527424138630064,Ursa Major
7,8,156540,3513,CO,2,0.1289347683947791,0.0,-3.0473327182112357,0.0,0.7815921126062,0.0,Ursa Major
0,1,156640,3250,HI,1,23.456820458519587,0.6794468452468132,-0.7429464485911049,0.0956510967572791,2.861469011710559,0.0956852423310287,Ursa Major
1,2,156640,3250,67,1,0.0011896423352254,0.0015363355079796,-0.204544188802181,3.025400759813024,-2.0288216351732284,3.025400631012433,Ursa Major
2,3,156640,3250,65,1,0.0024246181821397,0.000993658102366,0.9492884448390956,1.7811782431901813,3.763954736877723,1.7811782372300002,Ursa Major
3,4,156640,3250,CO,1,1.74243059438563,0.1018347395712712,-0.8158085313415124,0.068762574200133,1.0187945402568594,0.0687625748162599,Ursa Major
