l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
119070,2800,HI,1,25.108943671277444,0.2622386027780751,-4.629767144492037,0.021005479869978097,1.8477561217470948,0.024123073954314192,128.0819200000001,0.29078967724498733,Polaris,F
119070,2800,HI,2,6.805908343219604,0.13419891299807288,-9.986011091130512,0.21825620422807912,11.427903660943631,0.20072085415169055,281.4054400000002,0.7554937429573102,Polaris,F
119070,2800,67,1,0.08660193191639635,0.00252845149292183,-4.358240960709567,0.03719155613544353,1.1032388440587724,0.03720137179979581,0.21573332134878884,0.0040113705273138464,Polaris,F
119070,2800,67,2,0.0021662414370627716,0.13419891299807288,0.9258826044692654,0.21825620422807912,0.9258826044692654,0.20072085415169055,0.002389881698977346,8.058715310829613e-05,Polaris,T
119070,2800,65,1,0.043520208052311785,0.002555829174429282,-4.251789899925019,0.07330403932871155,1.0811639337459211,0.07333570085882885,0.10666254594900529,0.00492781678004485,Polaris,F
119070,2800,65,2,0.002658022148970482,0.13419891299807288,-4.358240960709567,0.21825620422807912,1.1032388440587724,0.20072085415169055,0.0028737576825647133,0.0001949279171930407,Polaris,T
119070,2800,CO,1,1.6130650970863463,0.12555813182208886,-3.7797793145686196,0.077823000817232,0.8657993140129903,0.07782344125960389,2.944761288975404,0.1917615125684714,Polaris,F
119070,2800,CO,2,0.14746348244268756,0.13419891299807288,-4.251789899925019,0.21825620422807912,1.0811639337459211,0.20072085415169055,0.12767378194084553,0.011476115663815125,Polaris,T
