l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
125220,3250,HI,1,36.662618687862654,0.776355156962778,1.1527447610791457,0.06779823391575811,2.775750054633473,0.06779391854039413,225.83936000000023,3.4233357976015424,Polaris,F
125220,3250,67,1,0.1203926049729657,0.0025926073897639505,0.0690411472567108,0.02608417562176651,1.048728469624489,0.026069724392512417,0.26155688538535926,0.0038144191446918157,Polaris,F
125220,3250,65,1,0.06833239997137083,0.002712982069926083,0.23412885490625135,0.04401679886730221,0.9616478685578749,0.04416426326122248,0.13997482740788592,0.0036117194836549106,Polaris,F
125220,3250,CO,1,0.8638655768426621,0.10369594056559185,0.38968257446163507,0.13769823824651425,0.9933386724649458,0.1376982256805989,1.8730387868851692,0.16725918910177198,Polaris,F
