,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
10,11,120500,1863,CO,2,0.1147417452078032,1.0586916770033603,-0.8060044063543905,0.0613171975371621,0.882484571837117,0.0817025675918861,0.0792584431538224,0.0041955177579178,Polaris,T
11,12,120500,1863,CO,3,0.1147417452078032,1.2019064228371603,-0.8060044063543905,0.2099212836022226,0.882484571837117,0.3232426033610055,0.0792584431538224,0.0041955177579178,Polaris,T
0,1,120500,2963,HI,1,7.081241823941692,0.9863267972979244,-7.097378069674854,0.0881632833645061,1.2619959931530882,0.1579816186449571,66.41920000000006,1.173366232460789,Polaris,F
1,2,120500,2963,HI,2,18.835690063858102,0.3995002399769652,-3.1279038139573605,0.163236358480011,3.3125187903659645,0.12391709401316,194.7456000000001,1.9160990339605637,Polaris,F
2,3,120500,2963,HI,3,4.760324750231943,0.1734093450803134,-12.611325624751984,0.5670411018276615,15.075729908593626,0.4268195899833872,333.1955200000004,4.007808671488404,Polaris,F
3,4,120500,2963,67,1,0.014572976277608,0.0016164609598657,-3.185828432082513,0.5515471580084458,3.041903237083113,0.4442398326676548,0.1453950410318107,0.0075144707399956,Polaris,F
4,5,120500,2963,67,2,0.0302041730840455,0.0038950341995744,-6.39125216195009,0.0902005213437544,0.6270272486201466,0.1064189691367679,0.0577742504662167,0.0033605734779126,Polaris,F
5,6,120500,2963,67,3,0.0020718754769152,0.0,4.963955843135976,0.0,0.0250575962569181,0.0,0.0577742504662167,0.0,Polaris,F
6,7,120500,2963,65,1,-0.0832656055632197,0.005709332947218,-8.05276897911832,0.0554167810046188,0.1761468544190462,0.0196230478098259,0.0,0.0,Polaris,F
7,8,120500,2963,65,2,0.0027848948109118,0.3995002399769652,-3.185828432082513,0.163236358480011,3.041903237083113,0.12391709401316,0.00049055046083,5.4648124019859984e-05,Polaris,T
8,9,120500,2963,65,3,0.0027848948109118,0.1734093450803134,-3.185828432082513,0.5670411018276615,3.041903237083113,0.4268195899833872,0.00049055046083,5.4648124019859984e-05,Polaris,T
9,10,120500,2963,CO,1,1.4753307838057006,0.1281053229721751,-6.307529097636788,0.0570405912197669,0.5634383473409896,0.0560810364519791,1.9617521225838408,0.1446900141463519,Polaris,F
10,11,120500,2963,CO,2,0.1284786505943507,0.3995002399769652,-8.05276897911832,0.163236358480011,0.1761468544190462,0.12391709401316,0.0723897985594814,0.0072052158872828,Polaris,T
11,12,120500,2963,CO,3,0.1284786505943507,0.1734093450803134,-8.05276897911832,0.5670411018276615,0.1761468544190462,0.4268195899833872,0.0723897985594814,0.0072052158872828,Polaris,T
0,1,121070,2175,HI,1,9.199652809706269,0.5149937238328693,-2.7958648848914747,0.1349510330598086,2.573746481465498,0.1726215437754799,120.49280000000012,0.5912364629750494,Polaris,F
1,2,121070,2175,HI,2,9.894485208269526,0.4149829224158821,-6.992074099297367,0.3014062880728929,9.14689116280329,0.2534328300643509,252.31488000000024,1.132131633492578,Polaris,F
2,3,121070,2175,67,1,0.0366671917790129,0.0019352848961615,-3.012289556752109,0.2877641942462006,2.051381256541624,0.2466171663423018,0.279768858167901,0.0068314972542842,Polaris,F
3,4,121070,2175,67,2,0.1221550021630027,0.0050567853872998,-6.000258899454547,0.0232886214726437,0.6661112469908715,0.0461737371348958,0.1997377554856156,0.0036515888806026,Polaris,F
4,5,121070,2175,65,1,0.0019419212665299,0.0,2.9999460106089395,0.0,0.0254995334316116,0.0,0.0,0.0,Polaris,F
5,6,121070,2175,65,2,0.0773461437878148,0.0030649749407724,-5.794755019030757,0.0341119847830485,-5.794755019030757,0.029538763879355,0.1069265996910965,0.0031229239419185,Polaris,F
6,7,121070,2175,CO,1,3.861257271699885,0.2744094029461896,-6.122722412733541,0.0430566078461693,0.7804929586669614,0.048676780620586,7.105253921118902,0.1453579418588643,Polaris,F
7,8,121070,2175,CO,2,1.9359184962512328,0.0919770417506663,-3.416228302784942,0.2341377947247602,1.6503910236179409,0.1963836754054184,9.83955387664714,0.2373685250769078,Polaris,F
0,1,121930,1975,HI,1,19.510652526169256,1.101174293621994,-0.6125837470986736,0.3038699070768696,3.564322482285116,0.2547447908475643,172.09216000000015,4.882708992570362,Polaris,F
1,2,121930,1975,HI,2,18.323956682710325,0.6573233241529789,-12.52118215200788,0.4606141876658942,5.477668079332882,0.425020031183528,238.42432000000025,6.2242571080778095,Polaris,F
2,3,121930,1975,67,1,0.1183356268276255,1433.1500779238131,1.323985958019873,11.774807376062844,0.2494050253573619,876.7000961781303,0.0,0.0,Polaris,F
3,4,121930,1975,67,2,0.0152145483915568,0.0030538528662513,-2.997574136583483,0.1741870375105081,0.7175212518235945,0.1620556993150582,0.0218562549170909,0.003428835974611,Polaris,F
4,5,121930,1975,65,1,0.057793441821868,732.9748889072878,1.298860817163683,66.45579704072054,0.2550055015493773,979.3638941204686,0.0,0.0,Polaris,F
5,6,121930,1975,65,2,0.0025993163096894,0.6573233241529789,1.323985958019873,0.4606141876658942,0.2494050253573619,0.425020031183528,0.0006628399592378,2.5456765431082835,Polaris,T
6,7,121930,1975,CO,1,0.8590327531641894,0.1606221772688964,1.3328599257583746,0.1196038901402842,0.5693614900442363,0.1258359998460109,0.9474581788719106,0.155390844034034,Polaris,F
7,8,121930,1975,CO,2,0.1689909559378135,0.6573233241529789,1.298860817163683,0.4606141876658942,0.2550055015493773,0.425020031183528,0.0962169424767534,0.0212651459053679,Polaris,T
0,1,122220,1875,HI,1,10.443771755387138,1.6292635445020878,-12.628354997037505,0.2258001693744554,1.316190391862326,0.2582879376117862,98.59072000000008,3.783337962866895,Polaris,F
1,2,122220,1875,HI,2,19.8281856968273,1.001218474388122,-8.541770350600311,0.5416762521332276,9.482400699288652,0.3782187082996063,473.4156800000004,10.245327636015944,Polaris,F
2,3,122220,1875,HI,3,5.199264799510459,1.425286271073777,0.0662839614808998,0.6834974351833287,2.496086570414954,0.8584172313962299,110.61504000000008,4.884268307752594,Polaris,F
3,4,122220,1875,67,1,0.0271754146095304,0.0029525552512207,1.9996064052151816,0.1013715228507353,0.8033915337168831,0.1004037902821047,0.0497182578297523,0.003477804051682,Polaris,F
4,5,122220,1875,67,2,0.0021686602849042,1.001218474388122,0.9258762745849084,0.5416762521332276,0.9258762745849084,0.3782187082996063,0.0017422833124001,0.0002177417124386,Polaris,T
5,6,122220,1875,67,3,0.0021686602849042,1.425286271073777,0.9258762745849084,0.6834974351833287,0.9258762745849084,0.8584172313962299,0.0017422833124001,0.0002177417124386,Polaris,T
6,7,122220,1875,65,1,0.0135801906924182,0.0024732029189388,1.9813410414867716,0.2427523847129588,1.1540463331997584,0.242750981069577,0.0328886100410715,0.0045078808217528,Polaris,F
7,8,122220,1875,65,2,0.002431528914733,1.001218474388122,1.9996064052151816,0.5416762521332276,0.8033915337168831,0.3782187082996063,0.0028060970281168,0.0005902560295504,Polaris,T
8,9,122220,1875,65,3,0.002431528914733,1.425286271073777,1.9996064052151816,0.6834974351833287,0.8033915337168831,0.8584172313962299,0.0028060970281168,0.0005902560295504,Polaris,T
