l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
120500,1863,65,1,0.0566654706945246,0.0028268707511147,-0.806004406139013,0.050877355572771,0.8824845717968628,0.0507947498853251,0.1131692732781215,0.0039254562532732,Polaris,F
120500,1863,65,2,0.0024449298906537,0.4368397186700328,-0.888052585196258,0.2538575886987655,0.9912284154861792,0.2275302960515374,0.0021576129076268,0.0001241896022829,Polaris,T
120500,1863,65,3,0.0024449298906537,0.8844318705404473,-0.888052585196258,0.0536907132885419,0.9912284154861792,0.0697266123907526,0.0021576129076268,0.0001241896022829,Polaris,T
120500,1863,CO,1,2.971227891539606,0.1362127011766981,-0.8137248095281145,0.0365666075088152,0.6907550784027341,0.0365648766180201,4.413614504567724,0.1292197937983647,Polaris,F
120500,1863,CO,2,0.1147417452078032,0.4368397186700328,-0.806004406139013,0.2538575886987655,0.8824845717968628,0.2275302960515374,0.0792584432070826,0.0041955177564596,Polaris,T
120500,1863,CO,3,0.1147417452078032,0.8844318705404473,-0.806004406139013,0.0536907132885419,0.8824845717968628,0.0697266123907526,0.0792584432070826,0.0041955177564596,Polaris,T
125070,1950,HI,1,16.459177157549465,0.2696659535694777,-8.096937281870169,0.3994904343717038,10.082063143587296,0.2846601647636829,419.5110400000004,2.539419531566385,Polaris,F
125070,1950,HI,2,8.403188697401301,0.7189973841384825,4.079467769661686,0.1954554135442367,3.4646419577282868,0.3081601408977844,143.17696000000012,1.466134550135246,Polaris,F
125070,1950,67,1,0.1064043005807934,0.0031598000984685,0.6607897273267362,0.024929804489482,0.6203958461556224,0.0204498114089462,0.1392873561920503,0.0036482901523094,Polaris,F
125070,1950,67,2,0.0027862367355751,0.7189973841384825,0.9258835308197888,0.1954554135442367,0.9258835308197888,0.3081601408977844,0.0017285696971569,5.697801578318901e-05,Polaris,T
125070,1950,65,1,0.0595585979272394,0.0030961255369224,0.6861414739519128,0.0477545452695148,0.5555998798566801,0.0320028304363707,0.0546532886374351,0.0020066707309262,Polaris,F
125070,1950,65,2,0.0021647598317284,0.7189973841384825,0.6607897273267362,0.1954554135442367,0.6203958461556224,0.3081601408977844,0.0012027403024269,6.927844183027316e-05,Polaris,T
125070,1950,CO,1,1.9626748961650973,0.1475450867590004,0.680557196403121,0.0515344238085477,0.6017428976177103,0.0529060913655207,2.210881878348314,0.1319262730388704,Polaris,F
125070,1950,CO,2,0.1434727195977438,0.7189973841384825,0.6861414739519128,0.1954554135442367,0.5555998798566801,0.3081601408977844,0.0863336900198395,0.0075905808114979,Polaris,T
146070,1775,HI,1,20.0,0.9762503894810616,0.743232129446686,0.0787313928612865,1.9768247518357585,0.1051568436903671,161.24416000000016,0.8459509929683613,Camelopardalis,F
146070,1775,HI,2,17.389601532596284,0.8829426550864509,-1.931719422043893,0.2109398989574513,5.902985061122231,0.1689684281409929,317.6678400000003,1.5826293908444098,Camelopardalis,F
146070,1775,67,1,0.2302671864343232,0.0030007786026606,0.4876116674018792,0.0115955680131651,0.723210768108265,0.0104392009672929,0.3981320966637847,0.003972180824975,Camelopardalis,F
146070,1775,67,2,0.0024768628790628,0.8829426550864509,0.9259049776049436,0.2109398989574513,0.9259049776049436,0.1689684281409929,0.0017912939052659,2.5856469362965223e-05,Camelopardalis,T
146070,1775,65,1,0.1691699300413363,0.0029860448458946,0.5912862003352792,0.0157284730730834,0.6870755258212656,0.0130567260451619,0.2824289102136197,0.0035990131912305,Camelopardalis,F
146070,1775,65,2,0.0022415392921147,0.8829426550864509,0.4876116674018792,0.2109398989574513,0.723210768108265,0.1689684281409929,0.0015401067877787,2.92671644566089e-05,Camelopardalis,T
146070,1775,CO,1,4.350811787054536,0.1145720071580298,0.2581257719727128,0.0273440476601778,0.8992195403686205,0.0273439541239033,8.407117764871677,0.1812722528877652,Camelopardalis,F
146070,1775,CO,2,0.1393994469983902,0.8829426550864509,0.5912862003352792,0.2109398989574513,0.6870755258212656,0.1689684281409929,0.1253507066575323,0.0038117320836214,Camelopardalis,T
123500,1963,HI,1,25.697472710792937,1.364043777961363,-3.592407892597939,0.1146874974487381,1.981047178486952,0.135199832786627,152.0128000000001,2.592739401941947,Polaris,F
123500,1963,HI,2,18.08919815488494,0.5980283044942485,-12.40174214058148,0.3415144996348734,5.083301931710263,0.3399696520987051,239.0553600000002,4.016654609910775,Polaris,F
